test case,mean,stddev,median,none,none2,none3,none4
u_13d_8b_21.svp,0.0007271878578547075,0.00003339699951776895,0.000718125,0.0002454379753474976,0.00031550118017309263,0.00068,0.0010435420000000002
u_7d_16b_2.svp,0.0006619657860793411,0.00011288476815489496,0.000647,0.00018016670722803544,0.0003160489170114403,0.000612083,0.00378325
u_5d_8b_3.svp,0.0006587047863046038,0.00012889770357495472,0.000642083,0.0001757237308146361,0.0003168004722550195,0.0006050000000000001,0.004296
u_18d_32b_24.svp,0.0008653598360157913,0.00003584515013187625,0.000857791,0.00037328059520194077,0.0003195961129668991,0.0008160410000000001,0.001296833
u_18d_8b_15.svp,0.001048986786646774,0.00017071990336700935,0.0010294170000000001,0.0005441070496083508,0.0003246415516598278,0.000981291,0.007019333000000001
u_19d_16b_2.svp,0.0012479579894551856,0.00030940946113299303,0.001229146,0.0007390852372583458,0.00032632820738136964,0.001179792,0.015307209
u_6d_8b_15.svp,0.000657679242507491,0.00013002403366550895,0.0006402915,0.00017674475524475178,0.00031486038961039086,0.000606333,0.004531709
u_20d_8b_9.svp,0.0016448521230180448,0.00016844345610792926,0.0016213750000000002,0.0011246484417714645,0.0003304723892837616,0.00156425,0.004810542
u_19d_16b_11.svp,0.0010810389906576955,0.000039821224386555435,0.001072,0.0005840661434977613,0.0003216756352765308,0.001026,0.0014527090000000002
u_4d_32b_12.svp,0.0006532573109463592,0.00010567041407072055,0.000638271,0.0001745588748364541,0.000313582642825993,0.000601834,0.003181667
u_11d_16b_4.svp,0.0006829913001758361,0.00005892332234752572,0.000673125,0.00020234790253704718,0.0003150080381813631,0.00063475,0.0034925840000000004
u_10d_16b_12.svp,0.0006904250208078321,0.00011915289846770808,0.000674791,0.00020769204406364565,0.00031569742962056464,0.0006369170000000001,0.004885833
u_2d_32b_6.svp,0.0006498449857315594,0.00009923146969576805,0.000635042,0.00017231922611849745,0.00031420894800483784,0.000600458,0.003067834
u_16d_32b_17.svp,0.0008738317044415407,0.000057614666830215375,0.0008653955000000001,0.0003854663618549978,0.00031742357935989583,0.0008214170000000001,0.0033471250000000003
u_10d_8b_7.svp,0.0006885292627772433,0.00011229682233490367,0.0006735840000000001,0.00020636692381870525,0.0003152695274831253,0.000634958,0.004804916
u_2d_16b_17.svp,0.0006436248833812803,0.00003032578764971837,0.0006345410000000001,0.00017116176145164642,0.00031224651471564507,0.0006002080000000001,0.000893917
u_3d_32b_22.svp,0.0006534217684587826,0.00013280527199934275,0.000637084,0.00017373667861409357,0.00031455842293906934,0.0006015,0.005370875000000001
u_17d_16b_22.svp,0.0009276988596930801,0.00019893586968086055,0.0009123340000000001,0.00043161165048543547,0.00031995928593798984,0.000867,0.011001625000000001
u_10d_8b_13.svp,0.0006832975789097821,0.00012065432529415846,0.0006688330000000001,0.00020196334206141033,0.000314424660795049,0.0006304160000000001,0.005647500000000001
u_8d_8b_24.svp,0.0006658535721784781,0.000034017569846886566,0.0006565420000000001,0.00018919875924600465,0.0003136733476497268,0.0006180000000000001,0.000995708
u_8d_8b_18.svp,0.000671389908532421,0.00011490949964781112,0.000655875,0.00019023412969283425,0.00031421706484641805,0.000617833,0.003717417
u_3d_8b_10.svp,0.000650638549408985,0.00010569744236176525,0.0006349165000000001,0.00017289338061465424,0.0003134323877068573,0.0005967500000000001,0.004497333
u_14d_32b_22.svp,0.0007649846152984,0.000033383598553846355,0.000756542,0.0002832210703278238,0.0003154606332305969,0.0007200420000000001,0.0010665000000000002
u_3d_8b_4.svp,0.0006501703432295452,0.00010343107726431851,0.0006351250000000001,0.00017272942312333665,0.00031305551532705893,0.0006017090000000001,0.0032335000000000003
u_11d_32b_5.svp,0.0008504415722679189,0.0016585424258545771,0.0006892500000000001,0.00021700587544065696,0.00034570669800235035,0.0006368750000000001,0.058247209
u_13d_32b_12.svp,0.0011070239287298105,0.006717692071896121,0.000782958,0.000292836236933799,0.0003571786506176746,0.0007045420000000001,0.28222266700000004
u_16d_8b_24.svp,0.0008980692195052609,0.0004958712375643177,0.000866,0.00036592180835939766,0.00034063321012226254,0.000796041,0.022022208
u_2d_16b_7.svp,0.0006512783263935507,0.00026633344200232667,0.000633417,0.00017042355048130806,0.0003117192746809963,0.0005968330000000001,0.015279000000000001
u_7d_16b_12.svp,0.0006602599737486108,0.00013572410616388667,0.000642958,0.00017900934371523704,0.0003131922135706364,0.000608791,0.0043705
u_15d_8b_8.svp,0.0008639199816839009,0.00005292436742370599,0.00084975,0.00036640295420975087,0.00032571225997045735,0.000796708,0.0020583330000000003
u_16d_8b_18.svp,0.0009582340415156512,0.00014320645990190863,0.000939583,0.0004614112026359116,0.0003205248764415159,0.0008941670000000001,0.0056300000000000005
u_15d_16b_17.svp,0.0008014874401969285,0.00013250660468113037,0.000784292,0.00031102519548219053,0.00031690443092962685,0.0007487500000000001,0.004797458
u_8d_32b_14.svp,0.0006674927485352705,0.00008016857181252929,0.0006534160000000001,0.000186550738223577,0.00031628216545582453,0.0006147090000000001,0.0047393750000000005
u_19d_32b_3.svp,0.0010992975834287892,0.0001415439143994503,0.0010825420000000001,0.0005952760595647183,0.00032290874379534113,0.0010352500000000001,0.0049903330000000004
u_15d_8b_16.svp,0.0008509274551612946,0.00003359600352232502,0.0008420625000000001,0.0003668709677419338,0.0003151164516129035,0.0008051670000000001,0.0010530420000000001
u_14d_16b_1.svp,0.0008691510950715431,0.00012847077896244887,0.000852125,0.00037905214626390876,0.0003183923688394282,0.0008124170000000001,0.004270250000000001
u_7d_32b_3.svp,0.000659827017170682,0.0001545725705256164,0.0006433125,0.00017939005638134157,0.0003132470527934397,0.0006116670000000001,0.0080385
u_9d_16b_21.svp,0.0006628092315564035,0.00006401265462398391,0.0006510625,0.0001857101380295103,0.0003118288910042852,0.000616208,0.002932458
u_7d_32b_2.svp,0.0006701012423903315,0.0001931225401591102,0.0006490205000000001,0.00018259064458370634,0.0003171846463742166,0.0006090830000000001,0.009299042
